TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,PACMA/ATTKA,MSR,UPYD,C´S,I.FEM,SAIN,IU-LV,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
ARABA-ÁLAVA,53,SAN MILLÁN/DONEMILIAGA,1,1,U,597,190,2,188,3,185,407,4,25,0,0,0,0,0,0,0,2,0,7,0,0,1,10,0,69,44,0,0,0,0,5,0,0,2,1,0,0,0,12,0,1,0,1,0,1,0
ARABA-ÁLAVA,54,URKABUSTAIZ,1,1,U,952,468,2,466,3,463,484,11,24,1,0,0,0,0,0,0,2,0,3,0,3,1,17,3,219,116,0,2,0,0,15,1,0,5,0,0,0,0,35,0,0,0,0,0,5,0
ARABA-ÁLAVA,55,VALDEGOVÍA/GAUBEA,1,1,A,354,157,5,152,3,149,197,12,34,0,0,0,0,0,0,0,0,0,2,2,0,1,4,3,29,43,0,0,1,1,2,1,0,3,0,0,0,0,8,1,0,0,0,0,2,0
ARABA-ÁLAVA,55,VALDEGOVÍA/GAUBEA,1,1,B,499,203,3,200,8,192,296,23,43,0,0,0,0,1,0,0,1,0,3,2,0,0,7,1,34,60,0,1,0,0,4,1,0,0,0,0,0,0,9,0,0,0,0,0,2,0
ARABA-ÁLAVA,56,HARANA/VALLE DE ARANA,1,1,U,233,89,0,89,0,89,144,6,14,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,16,40,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
ARABA-ÁLAVA,57,VILLABUENA DE ÁLAVA/ESKUERNAGA,1,1,U,254,156,6,150,5,145,98,4,18,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,50,63,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
ARABA-ÁLAVA,58,LEGUTIO,1,1,A,639,244,1,243,6,237,395,15,11,0,0,0,0,0,1,0,3,0,1,1,2,0,10,3,102,69,0,0,0,0,4,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0
ARABA-ÁLAVA,58,LEGUTIO,1,1,B,674,251,1,250,5,245,423,22,7,0,0,0,0,0,1,0,1,1,7,0,1,0,18,0,115,46,0,0,0,0,7,2,0,0,0,0,0,3,12,0,0,0,0,0,2,0
ARABA-ÁLAVA,59,VITORIA-GASTEIZ,1,1,U,985,415,4,411,8,403,570,46,60,0,0,1,0,0,0,0,10,0,9,7,0,0,22,4,121,51,1,0,0,1,24,3,1,1,1,0,0,0,33,0,0,0,1,0,5,1
ARABA-ÁLAVA,59,VITORIA-GASTEIZ,1,3,U,707,278,0,278,2,276,429,44,23,0,1,1,0,0,0,0,8,0,5,1,3,0,30,1,91,22,0,1,0,3,13,1,0,4,0,0,0,0,22,0,0,0,0,0,2,0
ARABA-ÁLAVA,59,VITORIA-GASTEIZ,1,4,U,899,376,5,371,3,368,523,52,30,0,0,0,0,0,1,0,6,1,12,1,1,0,24,3,119,41,2,0,0,1,22,1,2,2,2,0,0,0,39,0,1,0,3,0,2,0
ARABA-ÁLAVA,59,VITORIA-GASTEIZ,1,5,U,610,248,3,245,4,241,362,16,23,0,0,0,0,1,0,0,4,1,6,5,1,0,22,5,91,28,0,0,0,0,7,0,0,2,0,0,0,0,28,0,0,0,0,0,1,0
